Cliente,descripcion,fecha_ingreso,fecha_garantia,marca,codigo,sector,grupo,criticidad,estado,fecha_ultimalectura,ultima_lectura,descrip_tecnica,area,proceso,numero_serie,meta_disponibilidad
,GSC 25-06-007,,,GEA,Separadora,Lavalle,,,,,,,Mendoza,,9053-932,
,GSC 45-06-177,,,GEA,Separadora,Caucete,,,,,,,San Juan,,1731-383,
,CA 501-01-02,,,GEA,Decanter,Caucete,,,,,,,San Juan,,8007-666,
,GSC 40-06-007,,,GEA,Separadora,Tupungato,,,,,,,,,9074-326,
,GCA 501-01-02,,,GEA,Decanter,Caucete,,,,,,,San Juan,,8007-531,
,GSC 35-36-177,,,GEA,Separadora,Lujan de cuyo,,,,,,,Mendoza,,1725-253,
,SA 35-47-076,,,GEA,Separadora,Lujan de cuyo,,,,,,,Mendoza,,1691-529,
,SB 80-47-076,,,GEA,Separadora,Lujan de cuyo,,,,,,,Mendoza,,1653-024,
,GSE 75-06-177,,,GEA,Separadora,Lujan de cuyo,,,,,,,Mendoza,,1726-308,
,GSC 18-06-007,,,GEA,Separadora,Lujan de cuyo,,,,,,,Mendoza,,1726-216,
,CF 4000,,,GEA,Decanter,Albardon,,,,,,,San Juan,,8010-967,
,GS C18,,,GEA,Separadora,Albardon,,,,,,,San Juan,,9077-365,
,CF 5000,,,GEA,Decanter,Grl.Alvear,,,,,,,Mendoza,,8010-966,
,GSC 25-06-007,,,GEA,Separadora,Grl.Alvear,,,,,,,Mendoza,,9055-650,
,GSC 25-06-007,,,GEA,Separadora,ciudad,,,,,,,Mendoza,,9055-647,
,CF 5000,,,GEA,Decanter,San Martin,,,,,,,Mendoza,,8010-851,
,GSC 25-06-007,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,9055-251,
,GCA 501-01-01,,,GEA,Decanter,San Martin,,,,,,,Mendoza,,8007-226,
,GSC 60-06-077,,,GEA,Separadora,,,,,,,,,,9044/161,
,GC F5000,,,GEA,Decanter,San Martin,,,,,,,Mendoza,,,
,GSC 25-06-007,,,GEA,Separadora,San Rafael,,,,,,,Mendoza,,9055-671,
,GSC 40-06-007,,,GEA,Separadora,,,,,,,,,,9074-327,
,GSC 40-06-007,,,GEA,Separadora,Junin,,,,,,,Mendoza,,9071-894,
,GSC 45-06-177,,,GEA,Separadora,Junin,,,,,,,Mendoza,,1728-662,
,GSC 25-06-007,,,GEA,Separadora,Junin,,,,,,,Mendoza,,9055-648,
,GSC 25-06-007,,,GEA,Separadora,Junin,,,,,,,Mendoza,,9044-161,
,GSC 25-06-007,,,GEA,Separadora,Santa Rosa,,,,,,,Mendoza,,9059-744,
,GSC 25-06-007,,,GEA,Separadora,Junin,,,,,,,Mendoza,,9055-670,
,GSC 25-06-007,,,GEA,Separadora,Maipu,,,,,,,Mendoza,,9055-669,
,GSC 25-06-007,,,GEA,Separadora,Lavalle,,,,,,,Mendoza,,9055-649,
,CF 3000,,,GEA,Decanter,,,,,,,,,,8009-891,
,GSC 25-06-007,,,GEA,Separadora,Lavalle,,,,,,,Mendoza,,9055-651,
,GSC 60-06-077,,,GEA,Separadora,Lavalle,,,,,,,Mendoza,,9059-276,
,GSC 25-06-007,,,GEA,Separadora,Maipu,,,,,,,Mendoza,,9055-250,
,GSC 25-06-007,,,GEA,Separadora,Lavalle,,,,,,,Mendoza,,9057-585,
,GSC 25-06-007,,,GEA,Separadora,Rivadavia,,,,,,,Mendoza,,9050-220,
,GSC 25-06-007,,,GEA,Separadora,San Rafael,,,,,,,Mendoza,,9055-652,
,CF 4000,,,GEA,Decanter,,,,,,,,,,8010-000,
,CF 5000,,,GEA,Decanter,,,,,,,,,,8010-928,
,GSC 25-06-007,,,GEA,Separadora,San Rafael,,,,,,,Mendoza,,9053-933,
,GSC 45-06-177,,,GEA,Separadora,Lavalle,,,,,,,Mendoza,,1729-750,
,GSC 40-06-007,,,GEA,Separadora,Tres porte침a,,,,,,,Mendoza,,9071-526,
,GSC 25-06-007,,,GEA,Separadora,Lavalle,,,,,,,Mendoza,,9055-646,
,GSC 25-06-007,,,GEA,Separadora,Beltran,,,,,,,Mendoza,,9055-647,
,GSC 45-06-177,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,1730-590,
,SAKP 20036,,,GEA,Separadora,Lujan de Cuyo,,,,,,,Mendoza,,1622555,
,UC A501,,,GEA,Decanter,San Martin,,,,,,,Mendoza,,8062-243,
,GSC 45-06-177,,,GEA,Separadora,Rivadavia,,,,,,,Mendoza,,1729-824,
,GSC 25-06-007,,,GEA,Separadora,Tunuyan,,,,,,,Mendoza,,9030-994,
,GSC 45-06-177,,,GEA,Separadora,Rivadavia,,,,,,,Mendoza,,1726-464,
,CA 501-01-02,,,GEA,Decanter,Rivadavia,,,,,,,Mendoza,,8004-141,
,GSC 45-06-177,,,GEA,Separadora,Rivadavia,,,,,,,Mendoza,,1728-874,
,SB 60-36-177,,,GEA,Separadora,Rivadavia,,,,,,,Mendoza,,1684-744,
,GSC 45-06-177,,,GEA,Separadora,Rivadavia,,,,,,,Mendoza,,1729-823,
,GS C18,,,GEA,Separadora,,,,,,,,,,9063-157,
,GSC 40-06-007,,,GEA,Separadora,Rivadavia,,,,,,,Mendoza,,9071-895,
,GSE 300-06-777,,,GEA,Separadora,Maipu,,,,,,,Mendoza,,1728-518,
,GSC 50-06-177,,,GEA,Separadora,Guaymallen,,,,,,,Mendoza,,1731-265,
,GSC 45-06-177,,,GEA,Separadora,Tupungato,,,,,,,Mendoza,,1729-550,
,CF 6000,,,GEA,Decanter,,,,,,,,,,8010-965,
,GSE 50-06-177,,,GEA,Separadora,Albardon,,,,,,,San Juan,,1729-401,
,GSC 60-06-077,,,GEA,Separadora,Cha침ar,,,,,,,Neuquen,,9066-546,
,SA 100-06-777,,,GEA,Separadora,San Carlos,,,,,,,Mendoza,,1710323,
,SA 35-36-076,,,GEA,Separadora,Maipu,,,,,,,Mendoza,,,
,GSC 45-06-177,,,GEA,Separadora,San Juan,,,,,,,San Juan,,1731-455,
,UCA 501-00-32,,,GEA,Decanter,,,,,,,,,,8061-621,
,GSC 18,,,GEA,Separadora,Gral Roca,,,,,,,Rio Negro,,,
,GSC 25-06-007,,,GEA,Separadora,Grl.Alvear,,,,,,,Mendoza,,9055-653,
,CB 505-01-02,,,GEA,Decanter,,,,,,,,,,8004-835,
,GSC 45-36-177,,,GEA,Separadora,Lujan,,,,,,,Mendoza,,1729-509,
,CA 501-01-02,,,GEA,Decanter,Maipu,,,,,,,Mendoza,,8005-477,
,GSC 40-06-007,,,GEA,Separadora,Chilecito,,,,,,,La Rioja,,9071-615,
,SC 35-36-177,,,GEA,Separadora,Chilecito,,,,,,,La Rioja,,1700-025,
,GSC 25-06-007,,,GEA,Separadora,Maipu,,,,,,,Mendoza,,9044-166,
,GSC 25-06-007,,,GEA,Separadora,Tupungato,,,,,,,Mendoza,,9044-164,
,GCA 501-01-02,,,GEA,Decanter,Maipu,,,,,,,Mendoza,,8008-136,
,GSC 60-06-077,,,GEA,Separadora,Maipu,,,,,,,Mendoza,,9062-602,
,GSC 25-06-007,,,GEA,Separadora,Pedriel,,,,,,,Mendoza,,9057-584,
,UCD 345-00-32,,,GEA,Decanter,,,,,,,,,,8060-761,
,CF 7000,,,GEA,Decanter,San Martin,,,,,,,Mendoza,,8010-924,
,CF 7000,,,GEA,Decanter,San Martin,,,,,,,Mendoza,,8010-925,
,CF 7000,,,GEA,Decanter,San Martin,,,,,,,Mendoza,,8010-926,
,CF 7000,,,GEA,Decanter,San Martin,,,,,,,Mendoza,,8012-230,
,GSC 110,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,9077-427,
,GSC 110,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,9077-428,
,GSC 110,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,9077-429,
,GSC 110-06-077,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,1740-743,
,GSC 110-06-077,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,1740-742,
,GSC 110,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,9077-430,
,GSC 550,,,GEA,Separadora,,,,,,,,,,1740-750,
,GSC 551,,,GEA,Separadora,,,,,,,,,,1740-751,
,GSC 45-06-177,,,GEA,Separadora,Lujan de cuy,,,,,,,Mendoza,,1731-278,
,GSC 25-06-007,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,9049-190,
,GSC 25-06-007,,,GEA,Separadora,El cha침ar,,,,,,,Neuquen,,9059-169,
,GSC 40-06-007,,,GEA,Separadora,San martin,,,,,,,Mendoza,,9062-623,
,SC 35-36-177,,,GEA,Separadora,Lavalle,,,,,,,Mendoza,,1725-005,
,GSC 40-06-077,,,GEA,Separadora,Lujan de cuy,,,,,,,Mendoza,,9078-238,
,GSC 25-06-007,,,GEA,Separadora,Lujan de cuy,,,,,,,Mendoza,,9050-222,
,GSC 45-36-177,,,GEA,Separadora,Lujan de cuyo,,,,,,,Mendoza,,1725-480,
,CA 501-01-02,,,GEA,Decanter,Lujan de cuyo,,,,,,,Mendoza,,8004-247,
,CF 4000,,,GEA,Decanter,Caucete,,,,,,,San Juan,,810-830,
,USD 60,,,GEA,Separadora,,,,,,,,San Juan,,9053-853,
,UCC 469,,,GEA,Decanter,,,,,,,,San Juan,,8008-600,
, ,,,GEA,Decanter,,,,,,,,,,,
, ,,,GEA,Decanter,,,,,,,,,,,
,OSD 20,,,GEA,Centrifuga,,,,,,,,,,,
,OSD 25,,,GEA,Centrifuga,,,,,,,,,,,
,SB 80-36-177,,,GEA,Separadora,San Martin,,,,,,,Mendoza,,1667-984,
,CE 535-01-02,,,GEA,Decanter,Maipu,,,,,,,Mendoza,,8005-389,
,GSC 40-06-007,,,GEA,Separadora,San Rafael,,,,,,,Mendoza,,9074-789,
,GSC 25-06-007,,,GEA,Separadora,Maipu,,,,,,,Mendoza,,9044-162,
,GSC 25-06-007,,,GEA,Separadora,Lujan de cuy,,,,,,,Mendoza,,9057-583,
,GSC 40-06-077,,,GEA,Separadora,Caucete,,,,,,,San Juan,,,
,OSC 50-06-076,,,GEA,Separadora,Tunuy치n,,,,,,,Mendoza,,9011-099,
,GSC 40-06-077,,,GEA,,,,,,,,,,,,
,GSC 25-06-007,,,GEA,Separadora,Anillaco,,,,,,,La Rioja,,9059-742,
,GSC 45-06-177,,,GEA,Separadora,Barranca,,,,,,,Mendoza,,1727-447,
,GSC 25-06-007,,,GEA,Separadora,Barranca,,,,,,,Mendoza,,9059-740,
,AD 1220,,,GEA,Decanter,Lujan de cuyo,,,,,,,Mendoza,,8003-625,
,CE 535-01-02,,,GEA,Decanter,Lujan de cuyo,,,,,,,Mendoza,,,
,AD 509,,,GEA,Decanter,,,,,,,,Mendoza,,,