cliente,descripcion,fecha_ingreso,fecha_garantia,marca,codigo,sector,grupo,criticidad,estado,fecha_ultimalectura,ultima_lectura,descrip_tecnica,area,proceso,numero_serie,meta_disponibilidad,procesado,fec_proceso,Unidad industrial
BEASA,COMPACTADOR CATERPILLAR 825H,01-12-2023,1-1-2025,CATERPILLAR,825,Lama,Domo,AC,Operativo,,,COMPACTADOR,LamaMtto,N/A,CAT0825HJAZW00325,,,,Unidades
BEASA,AUTOBOMBA SCANIA P380,01-12-2023,1-1-2025,SCANIA,AB-01,Lama,Domo,AC,Operativo,,,AUTOBOMBA,LamaMtto,N/A,9BSP6X400B3667382,,,,Unidades
BEASA,AUTOELEVADOR TAYLOR TX330M,01-12-2023,1-1-2025,TAYLOR,AU-01,Lama,Domo,AC,Operativo,,,AUTOELEVADOR,LamaMtto,N/A,S GE 33661,,,,Unidades
BEASA,AUTOELEVADOR CATERPILLAR ,01-12-2023,1-1-2025,CATERPILLAR,AU-02,Lama,Domo,AC,Operativo,,,AUTOELEVADOR,LamaMtto,N/A,AT28C50239,,,,Unidades
BEASA,CAPILAR SCANIA P380,01-12-2023,1-1-2025,SCANIA,CC-26,Lama,Domo,AC,Operativo,,,CAPILAR,LamaMtto,N/A,9BSP6X400B3667697,,,,Unidades
BEASA,CARGADORA CATERPILLAR 988H,01-12-2023,1-1-2025,CATERPILLAR,CF-02,Lama,Domo,AC,Operativo,,,CARGADORA,LamaMtto,N/A,CAT0988HCBXY04536,,,,Unidades
BEASA,CARGADORA CATERPILLAR 980H,01-12-2023,1-1-2025,CATERPILLAR,CF-04,Lama,Domo,AC,Operativo,,,CARGADORA,LamaMtto,N/A,CAT0980HCJMS02921,,,,Unidades
BEASA,CARGADORA CATERPILLAR 980H,01-12-2023,1-1-2025,CATERPILLAR,CF-05,Lama,Domo,AC,Operativo,,,CARGADORA,LamaMtto,N/A,CAT0980HKJMS03278,,,,Unidades
BEASA,CARGADORA CATERPILLAR 988H,01-12-2023,1-1-2025,CATERPILLAR,CF-07,Lama,Domo,AC,Operativo,,,CARGADORA,LamaMtto,N/A,CAT0988HLBXY04542,,,,Unidades
BEASA,CARGADORA CATERPILLAR 966H,01-12-2023,1-1-2025,CATERPILLAR,CF-10,Lama,Domo,AC,Operativo,,,CARGADORA,LamaMtto,N/A,CAT0966HCRYF00377,,,,Unidades
BEASA,CARGADORA CATERPILLAR IT62H,01-12-2023,1-1-2025,CATERPILLAR,CF-12,Lama,Domo,AC,Operativo,,,CARGADORA,LamaMtto,N/A,CATIT62HAMG00659,,,,Unidades
BEASA,HIDROGRUA SCANIA P420,01-12-2023,1-1-2025,SCANIA,CH-02,Lama,Domo,AC,Operativo,,,HIDROGRUA,LamaMtto,N/A,9BSP6X400B3673418,,,,Unidades
BEASA,HIDROGRUA SCANIA P420,01-12-2023,1-1-2025,SCANIA,CH-05,Lama,Domo,AC,Operativo,,,HIDROGRUA,LamaMtto,N/A,9BSP6X400C3802561,,,,Unidades
BEASA,ARTICULADO CATERPILLAR 725,01-12-2023,1-1-2025,CATERPILLAR,CL-02,Lama,Domo,AC,Operativo,,,ARTICULADO,LamaMtto,N/A,CAT00725VB1L02407,,,,Unidades
BEASA,ARTICULADO CATERPILLAR 725,01-12-2023,1-1-2025,CATERPILLAR,CL-03,Lama,Domo,AC,Operativo,,,ARTICULADO,LamaMtto,N/A,CAT00725KB1L02399,,,,Unidades
BEASA,ARTICULADO CATERPILLAR 725,01-12-2023,1-1-2025,CATERPILLAR,CL-05,Lama,Domo,AC,Operativo,,,ARTICULADO,LamaMtto,N/A,CAT00725PB1L02403,,,,Unidades
BEASA,ARTICULADO CATERPILLAR 740,01-12-2023,1-1-2025,CATERPILLAR,CL-07,Lama,Domo,AC,Operativo,,,ARTICULADO,LamaMtto,N/A,N/A,,,,Unidades
BEASA,CAPILAR SCANIA P380,01-12-2023,1-1-2025,SCANIA,CP-77,Lama,Domo,AC,Operativo,,,CAPILAR,LamaMtto,N/A,9BSP6X400B3667615,,,,Unidades
BEASA,REGADOR SCANIA P380,01-12-2023,1-1-2025,SCANIA,CR-13,Lama,Domo,AC,Operativo,,,REGADOR,LamaMtto,N/A,9BSP6X400B3682217,,,,Unidades
BEASA,REGADOR SCANIA P310,01-12-2023,1-1-2025,SCANIA,CR-17,Lama,Domo,AC,Operativo,,,REGADOR,LamaMtto,N/A,9BSP4X200B3673409,,,,Unidades
BEASA,CAMION TIJERA MACLEAN TM3008,01-12-2023,1-1-2025,MACLEAN,CT-11,Lama,Domo,AC,Operativo,,,CAMION TIJERA,LamaMtto,N/A,SL3 - 065,,,,Unidades
BEASA,TRACTOR CARRETÓN SCANIA P420,01-12-2023,1-1-2025,SCANIA,CT-16,Lama,Domo,AC,Operativo,,,TRACTOR CARRETÓN,LamaMtto,N/A,9BSP6X400B3682070,,,,Unidades
BEASA,VOLCADOR SCANIA P310,01-12-2023,1-1-2025,SCANIA,CV-10,Lama,Domo,AC,Operativo,,,VOLCADOR,LamaMtto,N/A,9BSP8X400B3667212,,,,Unidades
BEASA,VOLCADOR SCANIA P420,01-12-2023,1-1-2025,SCANIA,CV-26,Lama,Domo,AC,Operativo,,,VOLCADOR,LamaMtto,N/A,9BSP8X400B3667356,,,,Unidades
BEASA,VOLCADOR SCANIA P380,01-12-2023,1-1-2025,SCANIA,CV-31,Lama,Domo,AC,Operativo,,,VOLCADOR,LamaMtto,N/A,9BSP6X400B3673070,,,,Unidades
BEASA,GRUA GROVE 55Tn RT760E,01-12-2023,1-1-2025,GROVE,GR-07,Lama,Domo,AC,Operativo,,,GRUA,LamaMtto,N/A,231511,,,,Unidades
BEASA,GRUA GROVE 55Tn RT760E,01-12-2023,1-1-2025,GROVE,GR-08,Lama,Domo,AC,Operativo,,,GRUA,LamaMtto,N/A,231513,,,,Unidades
BEASA,GRUA GROVE 75Tn RT880E,01-12-2023,1-1-2025,GROVE,GR-16,Lama,Domo,AC,Operativo,,,GRUA,LamaMtto,N/A,231555,,,,Unidades
BEASA,LUBRICADOR SCANIA P230,01-12-2023,1-1-2025,SCANIA,LB-01,Lama,Domo,AC,Operativo,,,LUBRICADOR,LamaMtto,N/A,9BSP4X20003673758,,,,Unidades
BEASA,LUBRICADOR SCANIA ,01-12-2023,1-1-2025,SCANIA,LB-02,Lama,Domo,AC,Operativo,,,LUBRICADOR,LamaMtto,N/A,9BSP6X400B3671181,,,,Unidades
BEASA,MINICARGADORA CATERPILLAR 246C,01-12-2023,1-1-2025,CATERPILLAR,MC-05,Lama,Domo,AC,Operativo,,,MINICARGADORA,LamaMtto,N/A,CAT0246CVJAY05161,,,,Unidades
BEASA,MINICARGADORA CATERPILLAR 246C,01-12-2023,1-1-2025,CATERPILLAR,MC-06,Lama,Domo,AC,Operativo,,,MINICARGADORA,LamaMtto,N/A,N/A,,,,Unidades
BEASA,MANIPULADOR HAULOTTE HTL4017,01-12-2023,1-1-2025,HAULOTTE,MM-07,Lama,Domo,AC,Operativo,,,MANIPULADOR,LamaMtto,N/A,ID:CT400905 EQUIPO:TDC2012L042VC3MI74A,,,,Unidades
BEASA,MOTONIVELADORA CATERPILLAR 160K,01-12-2023,1-1-2025,CATERPILLAR,MT-02,Lama,Domo,AC,Operativo,,,MOTONIVELADORA,LamaMtto,N/A,CAT0160KCJBP00109,,,,Unidades
BEASA,MOTONIVELADORA CATERPILLAR 12M,01-12-2023,1-1-2025,CATERPILLAR,MT-07,Lama,Domo,AC,Operativo,,,MOTONIVELADORA,LamaMtto,N/A,CAT0012MCB9200523,,,,Unidades
BEASA,PISTEN BULLY PISTEN BULLY 600,01-12-2023,1-1-2025,PISTEN BULLY,PB-01,Lama,Domo,AC,Operativo,,,PISTEN BULLY,LamaMtto,N/A,WKU5826MAAL010204,,,,Unidades
BEASA,EXCAVADORA CATERPILLAR  323D L,01-12-2023,1-1-2025,CATERPILLAR,RE-02,Lama,Domo,AC,Operativo,,,EXCAVADORA,LamaMtto,N/A,CAT0323DCLFL00174,,,,Unidades
BEASA,EXCAVADORA CATERPILLAR 345C,01-12-2023,1-1-2025,CATERPILLAR,RE-04,Lama,Domo,AC,Operativo,,,EXCAVADORA,LamaMtto,N/A,CAT0345CEPJW02025,,,,Unidades
BEASA,EXCAVADORA CATERPILLAR 345C,01-12-2023,1-1-2025,CATERPILLAR,RE-05,Lama,Domo,AC,Operativo,,,EXCAVADORA,LamaMtto,N/A,CAT0345CKTDG00325,,,,Unidades
BEASA,EXCAVADORA CATERPILLAR 336D L,01-12-2023,1-1-2025,CATERPILLAR,RE-06,Lama,Domo,AC,Operativo,,,EXCAVADORA,LamaMtto,N/A,CAT0336DCM4T00974,,,,Unidades
BEASA,EXCAVADORA CATERPILLAR 336D L,01-12-2023,1-1-2025,CATERPILLAR,RE-07,Lama,Domo,AC,Operativo,,,EXCAVADORA,LamaMtto,N/A,CAT0336DTM4T00975,,,,Unidades
BEASA,VIBROCOMPACTADOR CATERPILLAR CS76H,01-12-2023,1-1-2025,CATERPILLAR,RV-02,Lama,Domo,AC,Operativo,,,VIBROCOMPACTADOR,LamaMtto,N/A,CAT0CS76HCYK00175,,,,Unidades
BEASA,VIBROCOMPACTADOR CATERPILLAR CS76T,01-12-2023,1-1-2025,CATERPILLAR,RV-06,Lama,Domo,AC,Operativo,,,VIBROCOMPACTADOR,LamaMtto,N/A,CAT0CS76TJC00161,,,,Unidades
BEASA,TOPADOR CATERPILLAR D8T,01-12-2023,1-1-2025,CATERPILLAR,TO-05,Lama,Domo,AC,Operativo,,,TOPADOR,LamaMtto,N/A,TXG02293,,,,Unidades
BEASA,TOPADOR CATERPILLAR D8T,01-12-2023,1-1-2025,CATERPILLAR,TO-10,Lama,Domo,AC,Operativo,,,TOPADOR,LamaMtto,N/A,TXG04280,,,,Unidades